Grower,Field ID,Date Recieved,Date Reported,E Depth,1:1 Soil pH,WDRF Buffer pH,1:1 S Salts mmho/cm,Texture No,Organic Matter LOI %,Nitrate-N ppm N,lbs N/A,Potassium ppm K,Sulfate-S ppm S,Calcium ppm Ca,Magnesium ppm Mg,Sodium ppm Na,CEC/Sum of Cations me/100g,%H Sat,%K Sat,%Ca Sat,%Mg Sat,%Na Sat,Mehlich P-III ppm P,% Sand,% Silt,% Clay,Texture
Elizabeth Lee,ONH1,1/3/2018,1/8/2018,12,7.7,7.2,0.18,2,2.7,12.8,46,98,10,2201,237,9,13.3,0,2,83,15,0,95,34,43,23,Loam
Elizabeth Lee,ONH1,1/3/2018,1/8/2018,12,7,7.2,0.11,2,2.9,11,40,155,8.9,1394,235,8,9.4,0,4,74,21,0,88,40,37,23,Loam
Mitch Tuinstra,INH1,1/18/2018,1/22/2018,12,6.9,7.2,0.18,2,2.9,11.7,42,146,10.2,3029,767,11,22,0,2,69,29,0,27,16,44,40,Silty Clay Loam
Sanzhen Liu,KSH2,5/4/2018,5/8/2018,12,4.7,6.2,1.41,2,1.7,416.8,1500,701,85.9,524,166,11,13.9,58,13,19,10,0,1080,56,24,20,Sandy Loam
Sanzhen Liu,KSH3,5/4/2018,5/8/2018,12,4.6,5.9,1.76,2,1.7,415.8,1497,719,84.3,531,177,13,16.6,64,11,16,9,0,1040,54,27,19,Sandy Loam
Jason Wallace,GAH2,5/8/2018,5/10/2018,12,7.1,7.2,0.23,2,2.2,14.3,52,116,11.3,1212,171,18,7.9,0,4,77,18,1,10,44,33,23,Loam
Jason Wallace,GAH2,5/8/2018,5/10/2018,12,6.3,6.9,0.12,2,1.8,13.3,48,85,7.2,775,124,14,5.9,12,4,65,18,1,12,49,23,28,Sandy Clay Loam
Jim Holland,NCH1,5/30/2018,6/1/2018,12,5.6,6.8,0.12,2,1.3,16.9,61,141,7.6,218,66,6,3.8,47,9,28,14,1,56,72,9,19,Sandy Loam
Addie Thompson,MIH1,6/1/2018,6/5/2018,12,6.1,6.7,0.12,2,2.9,18.4,66,147,9.3,1682,308,17,14.2,20,3,58,18,1,21,52,26,22,Sandy Clay Loam
ED Buckler,NYH2,6/12/2018,6/14/2018,12,7.1,7.2,0.2,2,3.2,22.7,82,59,4.7,1363,274,15,9.3,0,2,73,24,1,21,50,26,24,Sandy Clay Loam
ED Buckler,NYH3,6/12/2018,6/14/2018,12,7.7,7.2,0.17,2,3.6,17.1,62,57,3.8,1702,313,16,11.3,0,1,75,23,1,23,44,24,32,Clay Loam
Candice Hirsch,MNH1,6/18/2018,6/20/2018,12,6.5,6.8,0.41,2,4.8,26.3,95,161,7.8,3652,520,14,24.9,7,2,73,17,0,28,39,26,35,Clay Loam
Sherry Flint-Garcia,MOH1,7/24/2018,7/26/2018,12,6.8,7.2,0.2,2,2.6,26.2,94,99,5.2,1800,235,20,11.3,0,2,80,17,1,15,31,41,28,Clay Loam
Sherry Flint-Garcia,MOH1,7/24/2018,7/26/2018,12,7.1,7.2,0.22,2,2.9,18,65,97,8.8,2162,336,26,14,0,2,77,20,1,19,25,45,30,Clay Loam
Natalia de Leon/Shawn Kaeppler,WIH1,9/10/2018,9/12/2018,12,7.1,7.2,0.22,2,4.3,39,140,326,3.8,1860,538,8,14.7,0,6,63,31,0,132,17,47,36,Silty Clay Loam
Natalia de Leon/Shawn Kaeppler,WIH2,9/10/2018,9/12/2018,12,6.9,7.2,0.12,2,3.2,30.2,109,201,3.5,1734,548,10,13.8,0,4,63,33,0,47,14,55,31,Silty Clay Loam
