"year","location","lat","lon","harvesting","yield","simulated_yield","simulated_harvesting"
"2018","ARH1",34.728337,-90.759734,"2018-09-01",6121.71572079208,NA,NA
"2018","ARH2",35.67486,-90.076613,"2018-09-23",5201.16828115079,7836.42973301785,"2018-08-01"
"2019","COH1",40.653062,-104.99303,"2019-11-07",NA,NA,NA
"2018","DEH1",38.649238,-75.450214,"2018-09-20",7507.86962120219,7473.21910013127,"2018-08-29"
"2019","DEH1",38.6712,-75.4331,"2019-09-12",9867.74418103545,7519.3461380011,"2019-08-29"
"2018","GAH1",31.505203,-83.555172,"2018-08-30",9981.83272998028,NA,NA
"2019","GAH1",31.505203,-83.555172,"2019-08-15",8489.43615449406,NA,NA
"2018","GAH2",33.714777,-83.30889,"2018-09-12",11103.1517956,NA,NA
"2019","GAH2",33.72056059,-83.30774042,"2019-09-05",12585.0448018646,9973.2750450717,"2019-07-27"
"2018","IAH1",41.198704,-91.486184,"2018-10-18",11048.8768464646,10224.6537624338,"2018-08-25"
"2019","IAH1",41.198704,-91.486184,"2019-11-05",10493.4331812905,9641.83325419694,"2019-10-07"
"2018","IAH2",42.06593,-94.727418,"2018-10-23",12047.6532091371,10812.1063786873,"2018-08-31"
"2019","IAH2",42.06593,-94.727418,"2019-10-26",11798.9669127175,9566.8795070647,"2019-09-15"
"2018","IAH3",41.98745,-92.260145,"2018-10-15",13691.4137231423,10993.6042387889,"2018-08-23"
"2019","IAH3",41.98745,-92.260145,"2019-10-27",11830.9474354293,9865.99084448187,"2019-09-16"
"2018","IAH4",41.997745,-93.696248,"2018-10-26",11522.5097835859,9914.17258931317,"2018-09-02"
"2019","IAH4",41.997745,-93.696248,"2019-10-17",10217.6053074298,9713.09623350701,"2019-10-04"
"2018","ILH1",40.063415,-88.230049,"2018-09-24",11872.2497361446,9440.54903378446,"2018-08-31"
"2019","ILH1",40.058299,-88.229683,"2019-10-18",11230.8117497713,9630.59589306885,"2019-09-17"
"2018","INH1",40.479279,-86.990142,"2018-09-19",11658.6196904665,9719.95530662167,"2018-09-01"
"2019","INH1",40.477486,-86.99984,"2019-10-11",12229.6288262351,9301.79459845677,"2019-10-02"
"2018","KSH1",37.809834,-100.770272,"2018-10-06",9894.92625805947,NA,NA
"2018","MIH1",42.688469,-84.497319,"2018-11-18",10314.8759297571,9397.4495777329,"2018-10-12"
"2019","MIH1",42.707603,-84.46977,"2019-11-17",9336.4647487433,9809.18414143921,"2019-11-01"
"2018","MNH1",43.07471,-89.384397,"2018-11-14",8349.02807538333,8457.16512129827,"2018-10-09"
"2019","MNH1",44.06684388,-93.52391105,"2019-11-19",7849.93187623261,NA,NA
"2018","MOH1",38.897217,-92.20935,"2018-09-26",8307.74746062417,8269.20741814889,"2018-08-22"
"2019","MOH1",38.89492,-92.20878,"2019-10-08",6531.28562344423,NA,NA
"2018","NCH1",35.666544,-78.492166,"2018-09-25",11631.8816883197,6669.70549579073,"2018-08-14"
"2019","NCH1",35.668804,-78.51129,"2019-10-07",10914.3909792403,NA,NA
"2018","NEH2",41.379819,-96.560109,"2018-09-27",12936.3776059194,9139.12171919845,"2018-08-28"
"2019","NEH2",40.8604,-96.6159,"2019-11-13",9249.5786815611,8188.90638907356,"2019-09-14"
"2018","NYH1",42.729068,-76.651402,"2018-11-12",8481.21559527721,9997.88781126558,"2018-10-05"
"2019","NYH1",42.728569,-76.65158,"2019-12-12",9114.68324162223,9917.44137052311,"2019-11-05"
"2018","NYH2",42.72538,-76.65642,"2018-12-11",9752.0516837357,9813.51328409796,"2018-09-22"
"2019","NYH2",42.731548,-76.652105,"2019-12-11",10648.3373331187,9742.17657076651,"2019-10-16"
"2018","NYH3",42.72532,-76.65507,"2018-12-11",9541.30742718078,9744.78788241066,"2018-09-22"
"2019","NYH3",42.732845,-76.654107,"2019-12-12",10326.5666024281,9741.07278048285,"2019-10-16"
"2018","OHH1",39.856553,-83.670296,"2018-10-09",11367.9936214859,8426.38794748166,"2018-09-08"
"2019","OHH1",39.856512,-83.670306,"2019-10-15",10719.9352669462,7981.1683462045,"2019-10-04"
"2018","ONH2",42.452802,-81.883487,"2018-11-14",10637.3847620773,NA,NA
"2019","ONH2",42.452094,-81.8826,"2019-11-20",7637.49774774575,NA,NA
"2018","SCH1",34.622457,-82.736821,"2018-09-15",6793.96336358149,7110.32758479213,"2018-08-13"
"2019","SCH1",34.62263,-82.737966,"2019-09-05",2634.87377669439,7609.54213505727,"2019-08-17"
"2018","TXH1",30.545296,-96.431858,"2018-08-16",8364.70109178145,NA,NA
"2019","TXH1",30.545296,-96.431858,"2019-08-23",7524.28074212243,NA,NA
"2019","TXH4",43.07471,-89.384397,"2019-09-18",8550.36005932233,NA,NA
"2018","WIH1",43.0557,-89.5313,"2018-10-19",11824.2258989962,9607.99589279939,"2018-09-20"
"2019","WIH1",43.056965,-89.530937,"2019-10-27",11634.0866751364,9568.57883805822,"2019-10-15"
"2018","WIH2",43.302,-89.3861,"2018-10-19",8606.86316875399,9489.5183895586,"2018-09-29"
"2019","WIH2",43.3189,-89.3885,"2019-11-22",7900.80483967863,NA,NA
